"productId","productName","strategy","uiAction","initialUrl","finalUrlOrHost","networkOrFirstData","cancelOrRecovery","status","reason"
"chatgpt-desktop","ChatGPT","direct-artifact","install-product","https://get.microsoft.com/installer/download/9PLM9XGG6VKS?cid=website_cta_psi","get.microsoft.com","Electron authorized first data 32768 bytes; total=1462848","paused then refresh/retry data 49152 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"claude-desktop","Claude","direct-artifact","install-product","https://claude.ai/api/desktop/win32/x64/setup/latest/redirect","claude.ai","Electron authorized first data 8259 bytes; total=7020704","paused then refresh/retry data 15149 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"jianying","剪映专业版","direct-artifact","install-product","https://lf3-package.vlabstatic.com/obj/faceu-packages/Jianying_11_1_0_14287_jianyingpro_0_creatortool.exe","lf3-package.vlabstatic.com","Electron authorized first data 30921 bytes; total=610062936","paused then refresh/retry data 212758 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"trae-desktop","TRAE","direct-artifact","install-product","https://lf-cdn.trae.com.cn/obj/trae-com-cn/pkg/app/releases/stable/2.3.62837/win32/Trae_CN-Setup-x64.exe","lf-cdn.trae.com.cn","Electron authorized first data 15284 bytes; total=361985768","paused then refresh/retry data 30982 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"bytedance-doubao","豆包桌面版","direct-artifact","install-product","https://lf-flow-web-cdn.doubao.com/obj/flow-doubao/doubao_pc/2.20.9/Doubao_installer_2.20.9.exe","lf-flow-web-cdn.doubao.com","Electron authorized first data 49098 bytes; total=587912592","paused then refresh/retry data 539319 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"trae-solo-cn","TRAE Work","direct-artifact","install-product","https://lf-cdn.trae.com.cn/obj/trae-com-cn/pkg/app/releases/stable/2.3.62834/win32/TRAE_Work_CN-Setup-x64.exe","lf-cdn.trae.com.cn","Electron authorized first data 15027 bytes; total=351167768","paused then refresh/retry data 31394 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"bytedance-feishu","飞书","download-page","前往官网下载 ↗","https://www.feishu.cn/download?lang=zh-CN","https://www.feishu.cn/download?lang=zh-CN","HTTP 200; first=4392 bytes","external entry only; no login/install","PASS",""
"bytedance-capcut-desktop","CapCut","download-page","前往官网下载 ↗","https://www.capcut.com/tools/desktop-video-editor","https://www.capcut.cn/","HTTP 200; first=13174 bytes","external entry only; no login/install","PASS",""
"bytedance-ui-tars-desktop","UI TARS","download-page","前往官网下载 ↗","https://github.com/bytedance/UI-TARS-desktop/releases/latest","https://github.com/bytedance/UI-TARS-desktop/releases/tag/v0.3.0","HTTP 206; first=1 bytes","external entry only; no login/install","PASS",""
"comfy-desktop","Comfy Desktop","direct-artifact","install-product","https://dl.todesktop.com/241130tqe9q3y","dl.todesktop.com","Electron authorized first data 851968 bytes; total=301442632","paused then refresh/retry data 1957888 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
