"productId","productName","strategy","uiAction","initialUrl","finalUrlOrHost","networkOrFirstData","cancelOrRecovery","status","reason"
"chatgpt-desktop","ChatGPT","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""chatgpt-desktop"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""ChatGPT 网页版 ↗"",""action"":"""",""disabled"":false}]}"
"claude-desktop","Claude","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""claude-desktop"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""Claude 网页版 ↗"",""action"":"""",""disabled"":false}]}"
"jianying","剪映专业版","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""jianying"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""CapCut 全球版 ↗"",""action"":"""",""disabled"":false}]}"
"trae-desktop","TRAE","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""trae-desktop"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"bytedance-doubao","豆包桌面版","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""bytedance-doubao"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""豆包网页版 ↗"",""action"":"""",""disabled"":false}]}"
"trae-solo-cn","TRAE Work","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""trae-solo-cn"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false}]}"
"bytedance-feishu","飞书","download-page","前往官网下载 ↗","https://www.feishu.cn/download?lang=zh-CN","https://www.feishu.cn/download?lang=zh-CN","HTTP 200; first=4392 bytes","external entry only; no login/install","PASS",""
"bytedance-capcut-desktop","CapCut","download-page","前往官网下载 ↗","https://www.capcut.com/tools/desktop-video-editor","https://www.capcut.cn/","HTTP 200; first=13160 bytes","external entry only; no login/install","PASS",""
"bytedance-ui-tars-desktop","UI TARS","download-page","前往官网下载 ↗","https://github.com/bytedance/UI-TARS-desktop/releases/latest","","BLOCKED: fetch failed","external entry only; no login/install","BLOCKED","external site/network probe unavailable"
"comfy-desktop","Comfy Desktop","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""comfy-desktop"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"google-antigravity-desktop","Google Antigravity 2.0","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""google-antigravity-desktop"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""打开教程 ↗"",""action"":"""",""disabled"":false}]}"
"google-chrome-devtools","Google Chrome","download-page","前往官网下载 ↗","https://www.google.com/chrome/download-chrome/","","BLOCKED: fetch failed","external entry only; no login/install","BLOCKED","external site/network probe unavailable"
"google-android-studio","Android Studio","download-page","前往官网下载 ↗","https://developer.android.com/studio","","BLOCKED: fetch failed","external entry only; no login/install","BLOCKED","external site/network probe unavailable"
"microsoft-copilot-desktop","Microsoft Copilot","download-page","前往官网下载 ↗","https://www.microsoft.com/en-us/microsoft-copilot/for-individuals/get-copilot","https://www.microsoft.com/en-us/microsoft-copilot/for-individuals/get-copilot","HTTP 200; first=15055 bytes","external entry only; no login/install","PASS",""
"microsoft-365-copilot","Microsoft 365 Copilot","login-required","登录后下载 ↗","https://support.microsoft.com/en-us/microsoft-365-copilot/access-microsoft-365-copilot-on-windows","https://support.microsoft.com/en-us/microsoft-365-copilot/access-microsoft-365-copilot-on-windows","HTTP 200; first=3503 bytes","external entry only; no login/install","PASS",""
"microsoft-vscode","Visual Studio Code","direct-artifact","","","","","","FAIL","client FAIL: Packaged managed download action did not settle: {""productId"":""microsoft-vscode"",""buttons"":[{""label"":""工具官网 ↗"",""action"":"""",""disabled"":false},{""label"":""使用教程 ↗"",""action"":"""",""disabled"":false}]}"
